股票代码,股票简称,最新价,最新涨跌幅,个股热度[20250530],个股热度排名[20250530],market_code,code,rank,short_name,price,change,change_pct
600650,锦江在线,17.25,10.012755102,135226.5,60,17,600650,73,锦江在线,17.25,1.7267249999999998,10.01
002232,启明信息,19.11,10.017271157,133594.5,62,33,002232,35,启明信息,19.11,1.9148219999999998,10.02
605005,合兴股份,19.5,9.983079526,130574.0,64,17,605005,74,合兴股份,19.5,1.9461000000000002,9.98
002055,得润电子,6.33,10.086956522,129196.0,65,33,002055,29,得润电子,6.33,0.6386970000000001,10.09
002355,兴民智通,7.61,9.971098266,126875.5,66,33,002355,39,兴民智通,7.61,0.7587170000000001,9.97
002657,中科金财,21.01,10,123955.5,67,33,002657,26,中科金财,21.01,2.1010000000000004,10.0
603681,永冠新材,18.45,10.017889088,118068.0,71,17,603681,85,永冠新材,18.45,1.8486899999999997,10.02
603006,联明股份,14.93,10.02210759,117320.0,72,17,603006,84,联明股份,14.93,1.495986,10.02
300149,睿智医药,8.56,20.056100982,110832.5,76,33,300149,34,睿智医药,8.56,1.7171359999999998,20.06
300130,新国都,28.07,14.012997563,110092.5,77,33,300130,64,新国都,28.07,3.932607,14.01
300698,万马科技,41.59,19.99422966,109008.5,79,33,300698,55,万马科技,41.59,8.313841,19.99
002015,协鑫能科,8.05,9.972677596,106149.0,82,33,002015,45,协鑫能科,8.05,0.8025850000000001,9.97
300368,汇金股份,7.34,19.934640523,104938.0,84,33,300368,57,汇金股份,7.34,1.462862,19.93
002861,瀛通通讯,15.49,10.014204545,104769.5,85,33,002861,76,瀛通通讯,15.49,1.550549,10.01
002317,众生药业,13.61,10.024252223,104332.5,86,33,002317,50,众生药业,13.61,1.3637219999999999,10.02
600081,东风科技,16.6,10.006626905,103438.0,87,17,600081,51,东风科技,16.6,1.66166,10.01
300682,朗新集团,16.94,19.971671388,98824.5,96,33,300682,56,朗新集团,16.94,3.382918,19.97
300255,常山药业,36.9,15.601503759,97620.0,97,33,300255,81,常山药业,36.9,5.7564,15.6
300169,天晟新材,8.26,20.058139535,97292.5,98,33,300169,61,天晟新材,8.26,1.6569559999999999,20.06
002878,元隆雅图,17.41,9.981048642,96808.5,100,33,002878,49,元隆雅图,17.41,1.7375180000000001,9.98
