股票代码,股票简称,最新价,最新涨跌幅,个股热度[20250530],个股热度排名[20250530],market_code,code,rank,short_name,price,change,change_pct
002735,王子新材,21.85,10.020140987,721543.0,1,33,002735,1,王子新材,21.85,2.1893700000000003,10.02
002366,融发核电,8.24,10.013351135,600469.0,2,33,002366,3,融发核电,8.24,0.824824,10.01
603333,尚纬股份,9.96,10.055248619,516298.0,3,17,603333,18,尚纬股份,9.96,1.001976,10.06
002471,中超控股,6.06,9.98185118,511713.5,4,33,002471,9,中超控股,6.06,0.604788,9.98
000903,云内动力,5.56,10.099009901,477575.5,5,33,000903,7,云内动力,5.56,0.56156,10.1
002177,御银股份,5.76,9.923664122,468279.0,6,33,002177,10,御银股份,5.76,0.5713919999999999,9.92
603390,通达电气,17.56,10.025062657,419294.0,7,17,603390,23,通达电气,17.56,1.7612679999999998,10.03
002094,青岛金王,9.79,10,388516.0,8,33,002094,6,青岛金王,9.79,0.9789999999999999,10.0
300773,拉卡拉,23.75,20.010106114,357269.0,9,33,300773,2,拉卡拉,23.75,4.752375,20.01
002229,鸿博股份,19.17,9.982788296,355897.0,10,33,002229,8,鸿博股份,19.17,1.9131660000000001,9.98
300468,四方精创,23.11,19.989615784,349944.0,11,33,300468,4,四方精创,23.11,4.619688999999999,19.99
002537,海联金汇,7.57,10.029069767,339954.5,12,33,002537,5,海联金汇,7.57,0.7592709999999999,10.03
603011,合锻智能,19.59,9.994385177,339330.0,13,17,603011,11,合锻智能,19.59,1.957041,9.99
002639,雪人股份,11.33,-0.176211454,312080.5,15,33,002639,14,雪人股份,11.33,-0.020394000000000002,-0.18
601086,国芳集团,15.77,9.972105997,298782.5,16,17,601086,15,国芳集团,15.77,1.572269,9.97
600678,四川金顶,9.35,10,260272.0,17,17,600678,32,四川金顶,9.35,0.935,10.0
603686,福龙马,16.18,9.993201903,259803.5,18,17,603686,17,福龙马,16.18,1.6163820000000002,9.99
603123,翠微股份,10.23,10,254368.0,19,17,603123,12,翠微股份,10.23,1.0230000000000001,10.0
000826,启迪环境,2.28,10.144927536,245692.0,20,33,000826,43,启迪环境,2.28,0.23119199999999998,10.14
002365,永安药业,22.17,-9.987819732,241257.5,21,33,002365,47,永安药业,22.17,-2.214783,-9.99
300546,雄帝科技,22.08,20,239134.0,22,33,300546,13,雄帝科技,22.08,4.4159999999999995,20.0
000539,粤电力A,5.27,10.020876827,226987.0,23,33,000539,38,粤电力Ａ,5.27,0.5280539999999999,10.02
000981,山子高科,2.24,9.803921569,217283.5,24,33,000981,22,山子高科,2.24,0.21952000000000005,9.8
600476,湘邮科技,20.41,10.026954178,205528.0,25,17,600476,25,湘邮科技,20.41,2.047123,10.03
300815,玉禾田,26.78,19.982078853,202592.5,26,33,300815,41,玉禾田,26.78,5.350644,19.98
300204,舒泰神,23.04,20,197466.5,27,33,300204,30,舒泰神,23.04,4.608,20.0
601579,会稽山,26.45,2.479659047,197166.0,28,17,601579,94,会稽山,26.45,0.65596,2.48
603056,德邦股份,18.91,10.005817336,195384.0,29,17,603056,52,德邦股份,18.91,1.8928909999999999,10.01
002427,尤夫股份,10.48,-1.96445276,194194.0,30,33,002427,60,尤夫股份,10.48,-0.205408,-1.96
002104,恒宝股份,8.1,10.054347826,193798.0,31,33,002104,20,恒宝股份,8.1,0.81405,10.05
603693,江苏新能,16.8,10.019646365,189608.0,32,17,603693,54,江苏新能,16.8,1.6833600000000002,10.02
600006,东风股份,8.92,9.987669544,185729.5,33,17,600006,27,东风股份,8.92,0.891108,9.99
600190,*ST锦港,0.91,4.597701149,181064.0,34,22,600190,98,*ST锦港,0.91,0.04186,4.6
002973,侨银股份,14.8,10.037174721,179938.5,35,33,002973,53,侨银股份,14.8,1.48592,10.04
603607,京华激光,33.58,0.23880597,177193.0,37,17,603607,95,京华激光,33.58,0.08059199999999998,0.24
605136,丽人丽妆,15.7,1.815823606,176649.5,38,17,605136,91,丽人丽妆,15.7,0.28574,1.82
600990,四创电子,29.1,10.018903592,172508.0,39,17,600990,44,四创电子,29.1,2.91582,10.02
603169,兰石重装,9.13,10,172095.5,40,17,603169,28,兰石重装,9.13,0.9130000000000001,10.0
000555,神州信息,12.06,10.03649635,170408.5,41,33,000555,19,神州信息,12.06,1.210824,10.04
605388,均瑶健康,9.31,10.047281324,169623.5,42,17,605388,78,均瑶健康,9.31,0.9356550000000001,10.05
002250,联化科技,8.36,10,164927.5,43,33,002250,46,联化科技,8.36,0.836,10.0
002907,华森制药,18.8,10.005851375,164351.5,44,33,002907,80,华森制药,18.8,1.8818800000000002,10.01
301082,久盛电气,27.19,19.991173875,154676.0,47,33,301082,66,久盛电气,27.19,5.435281,19.99
300872,天阳科技,18.62,19.974226804,149977.0,48,33,300872,16,天阳科技,18.62,3.718414,19.97
603518,锦泓集团,10.99,10.01001001,148255.5,50,17,603518,87,锦泓集团,10.99,1.100099,10.01
002987,京北方,13.71,10.032102729,147822.0,51,33,002987,21,京北方,13.71,1.375113,10.03
002640,跨境通,5.06,6.07966457,146415.5,52,33,002640,70,跨境通,5.06,0.307648,6.08
600571,信雅达,16.05,10.00685401,145288.0,53,17,600571,42,信雅达,16.05,1.606605,10.01
002383,合众思壮,9.97,10.04415011,144876.0,54,33,002383,24,合众思壮,9.97,1.000988,10.04
600869,远东股份,5.24,10.084033613,142104.0,55,17,600869,40,远东股份,5.24,0.528192,10.08
001230,劲旅环境,25.55,9.987085665,141070.0,57,33,001230,79,劲旅环境,25.55,2.552445,9.99
600686,金龙汽车,14.85,10,140449.0,58,17,600686,31,金龙汽车,14.85,1.485,10.0
