股票代码,股票简称,最新价,最新涨跌幅,个股热度[20250612],个股热度排名[20250612],market_code,code,rank,short_name,price,change,change_pct,触及跌停,最近触及日期
002734,利民股份,22.61,10.0243309,640930.0,1,33,002734,2,利民股份,22.61,2.265522,10.02,False,
600232,金鹰股份,8.47,10,441719.0,2,17,600232,11,金鹰股份,8.47,0.847,10.0,False,
003040,楚天龙,19.2,10.028653295,409781.0,3,33,003040,1,楚天龙,19.2,1.92576,10.03,False,
002181,粤传媒,8.07,9.945504087,403880.0,4,33,002181,5,粤 传 媒,8.07,0.8029649999999999,9.95,False,
600980,北矿科技,22.75,10.00967118,358234.5,5,17,600980,3,北矿科技,22.75,2.277275,10.01,False,
002878,元隆雅图,20.6,9.983982915,345989.5,6,33,002878,8,元隆雅图,20.6,2.05588,9.98,False,
002471,中超控股,5.65,-10.031847134,342615.5,7,33,002471,46,中超控股,5.65,-0.566695,-10.03,False,
002250,联化科技,13.32,-10,337198.0,8,33,002250,29,联化科技,13.32,-1.3319999999999999,-10.0,False,
600468,百利电气,8.68,-9.865005192,325557.0,9,17,600468,7,百利电气,8.68,-0.8567159999999998,-9.87,False,
600281,华阳新材,6,10.091743119,317776.5,10,17,600281,15,华阳新材,6.0,0.6053999999999999,10.09,False,
301141,中科磁业,66.02,19.992729916,298033.0,11,33,301141,6,中科磁业,66.02,13.197397999999998,19.99,False,
600706,曲江文旅,11.92,9.963099631,258335.5,12,17,600706,37,曲江文旅,11.92,1.187232,9.96,False,
600366,宁波韵升,9.61,9.95423341,251374.5,13,17,600366,4,宁波韵升,9.61,0.9561949999999999,9.95,False,
603332,苏州龙杰,19.8,10,249073.0,14,17,603332,36,苏州龙杰,19.8,1.98,10.0,False,
002940,昂利康,26.11,9.9831508,240875.5,15,33,002940,38,昂利康,26.11,2.6057780000000004,9.98,False,
002376,新北洋,7.84,9.957924264,240322.5,16,33,002376,12,新北洋,7.84,0.7808640000000001,9.96,False,
002104,恒宝股份,11.55,3.68043088,227443.0,17,33,002104,50,恒宝股份,11.55,0.42504000000000003,3.68,False,
300043,星辉娱乐,5.49,13.429752066,226004.5,18,33,300043,18,星辉娱乐,5.49,0.7373069999999999,13.43,False,
688775,影石创新,177,274.444679501,216801.5,19,17,688775,53,N影石,177.0,485.75879999999995,274.44,False,
000678,襄阳轴承,16.74,8.701298701,216055.5,20,33,000678,17,襄阳轴承,16.74,1.4563799999999998,8.7,False,
300299,富春股份,8.78,9.887359199,215244.0,21,33,300299,47,富春股份,8.78,0.868342,9.89,False,
603019,中科曙光,69.56,2.158907329,214026.0,22,17,603019,10,中科曙光,69.56,1.502496,2.16,False,
300546,雄帝科技,32.1,14.765820522,213317.0,23,33,300546,21,雄帝科技,32.1,4.74117,14.77,False,
600250,南京商旅,12.8,9.965635739,206883.5,24,17,600250,22,南京商旅,12.8,1.2761600000000002,9.97,False,
002615,哈尔斯,8.47,10,205479.0,25,33,002615,14,哈尔斯,8.47,0.847,10.0,False,
002826,易明医药,21.57,9.994900561,202424.0,26,33,002826,66,易明医药,21.57,2.154843,9.99,False,
