股票代码,股票简称,最新价,最新涨跌幅,个股热度[20250610],个股热度排名[20250610],market_code,code,rank,short_name,price,change,change_pct
002105,信隆健康,9.36,9.988249119,129026.0,61,33,002105,49,信隆健康,9.36,0.935064,9.99
600760,中航沈飞,54.65,9.3,128273.5,62,17,600760,34,中航沈飞,54.65,5.08245,9.3
600980,北矿科技,18.8,10.005851375,126749.5,63,17,600980,26,北矿科技,18.8,1.8818800000000002,10.01
600589,大位科技,7.99,2.435897436,125900.0,64,17,600589,100,大位科技,7.99,0.194956,2.44
002437,誉衡药业,3.04,10.144927536,124845.5,65,33,002437,51,誉衡药业,3.04,0.30825600000000003,10.14
002038,双鹭药业,7.74,9.943181818,122857.5,66,33,002038,14,双鹭药业,7.74,0.7693559999999999,9.94
301287,康力源,48.6,20,122684.0,67,33,301287,53,康力源,48.6,9.72,20.0
002172,澳洋健康,4.15,10.079575597,122331.5,68,33,002172,36,澳洋健康,4.15,0.41832,10.08
603538,美诺华,16.76,9.973753281,120913.0,69,17,603538,35,美诺华,16.76,1.6709720000000001,9.97
601956,东贝集团,7.38,9.98509687,119154.5,70,17,601956,62,东贝集团,7.38,0.7372620000000001,9.99
300468,四方精创,27.8,0.907441016,117829.5,71,33,300468,92,四方精创,27.8,0.25298000000000004,0.91
300530,领湃科技,50.97,10.90078329,116496.0,73,33,300530,86,领湃科技,50.97,5.55573,10.9
603829,洛凯股份,19.37,9.994321408,115498.5,74,17,603829,66,洛凯股份,19.37,1.9350630000000002,9.99
002427,尤夫股份,10.39,4.004004004,115173.5,75,33,002427,99,尤夫股份,10.39,0.4156,4.0
300804,广康生化,56.7,20,113214.5,77,33,300804,76,广康生化,56.7,11.34,20.0
002629,仁智股份,6.3,9.947643979,110731.5,78,33,002629,70,仁智股份,6.3,0.6268499999999999,9.95
002846,英联股份,13.15,10.041841004,110100.5,79,33,002846,59,英联股份,13.15,1.3202599999999998,10.04
603598,引力传媒,18.21,10.03021148,107709.5,80,17,603598,43,引力传媒,18.21,1.826463,10.03
603332,苏州龙杰,16.36,10.020174849,107296.0,81,17,603332,58,苏州龙杰,16.36,1.639272,10.02
600530,交大昂立,8.64,10.063694268,106866.5,83,17,600530,71,XD交大昂,8.64,0.8691840000000001,10.06
600520,三佳科技,30.31,10.01814882,106619.5,84,17,600520,67,三佳科技,30.31,3.0370619999999997,10.02
600735,新华锦,10.17,9.827213823,104543.5,86,17,600735,91,新华锦,10.17,0.999711,9.83
300059,东方财富,21.46,2.728578267,100410.5,89,33,300059,32,东方财富,21.46,0.585858,2.73
002440,闰土股份,8.02,10.013717421,100005.0,90,33,002440,52,闰土股份,8.02,0.8028019999999999,10.01
600519,贵州茅台,1486.11,-1.346264911,96725.5,93,17,600519,84,贵州茅台,1486.11,-20.062485,-1.35
300061,旗天科技,14,16.861435726,93817.0,99,33,300061,74,旗天科技,14.0,2.3604,16.86
300493,润欣科技,23.32,15.674603175,91702.5,100,33,300493,79,润欣科技,23.32,3.654244,15.67
