股票代码,股票简称,最新价,最新涨跌幅,个股热度[20250603],个股热度排名[20250603],market_code,code,rank,short_name,price,change,change_pct,触及跌停,最近触及日期
603123,翠微股份,11.25,9.971,391302.5,1,17,603123,3,翠微股份,11.25,1.121625,9.97,False,
002104,恒宝股份,8.91,10.000,349460.0,2,33,002104,1,恒宝股份,8.91,0.8909999999999999,10.0,False,
002177,御银股份,6.34,10.069,317081.0,3,33,002177,2,御银股份,6.34,0.6384380000000001,10.07,False,
002537,海联金汇,8.33,10.040,278221.0,4,33,002537,4,海联金汇,8.33,0.8363319999999999,10.04,False,
300468,四方精创,24.79,7.270,208742.0,5,33,300468,5,四方精创,24.79,1.802233,7.27,False,
002094,青岛金王,9.60,-1.941,193368.5,6,33,002094,21,青岛金王,9.6,-0.18624,-1.94,False,
002465,海格通信,13.64,7.997,185124.0,7,33,002465,6,海格通信,13.64,1.0912,8.0,False,
002639,雪人股份,11.67,3.001,163535.0,8,33,002639,22,雪人股份,11.67,0.35009999999999997,3.0,False,
603686,福龙马,17.80,10.012,163013.0,9,17,603686,14,福龙马,17.8,1.78178,10.01,False,
300546,雄帝科技,25.00,13.225,159446.0,10,33,300546,12,雄帝科技,25.0,3.305,13.22,False,
600468,百利电气,7.01,10.047,150433.5,11,17,600468,8,百利电气,7.01,0.704505,10.05,False,
002735,王子新材,19.67,-9.977,140159.0,12,33,002735,46,王子新材,19.67,-1.9630660000000004,-9.98,False,
002471,中超控股,5.45,-10.066,139545.5,13,33,002471,30,中超控股,5.45,-0.548815,-10.07,False,
002366,融发核电,7.42,-9.952,133042.0,14,33,002366,34,融发核电,7.42,-0.7382899999999999,-9.95,False,
000903,云内动力,5.42,-2.518,131136.0,15,33,000903,37,云内动力,5.42,-0.136584,-2.52,False,
002907,华森制药,20.63,10.027,129637.5,16,33,002907,15,华森制药,20.63,2.0691889999999997,10.03,False,
002878,元隆雅图,19.15,9.994,128454.5,17,33,002878,13,元隆雅图,19.15,1.9130849999999997,9.99,False,
300773,拉卡拉,24.56,3.411,122140.0,18,33,300773,11,拉卡拉,24.56,0.837496,3.41,False,
002250,联化科技,9.20,10.048,121745.5,19,33,002250,9,联化科技,9.2,0.9246,10.05,False,
603056,德邦股份,20.80,9.995,119712.5,20,17,603056,17,德邦股份,20.8,2.07792,9.99,False,
